Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Riverdale,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,6.6,9
Bronx,Kingsbridge,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,6.6,9
Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot,4,7.7,10
Bronx,Parkchester,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,6.1,2
Bronx,Spuyten Duyvil,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,6.6,9
Bronx,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird,8,7.4,3
Bronx,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,6.1,2
Brooklyn,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill,14,7.5,3
Brooklyn,Bay Ridge,4b5a4dc8f964a520a2bb28e3,Taj Mahal,38,8.4,26
Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman,9,7.8,4
Brooklyn,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill,8,7.2,14
Brooklyn,Flatbush,564d283d498e6e851df79d87,Great Indian Curry,3,6.7,2
Brooklyn,East Flatbush,512a9ea9e4b004fb8eeb84e5,Silver Krust,12,8.3,3
Brooklyn,Kensington,4db0f4371e729fcc56497f20,Mashallah,19,7.5,7
Brooklyn,Kensington,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,15,7,12
Brooklyn,Gowanus,52f18573498ec2c34e830ffd,Kanan's Indian Restaurant,22,7.6,7
Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale,63,8.6,22
Brooklyn,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill,19,8.1,5
Brooklyn,Clinton Hill,57596dad498e732300496b23,Dosa Royale,63,8.6,22
Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,79,8.9,44
Brooklyn,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor,25,7.5,23
Brooklyn,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala,12,8.3,2
Brooklyn,Ocean Hill,4f6cae2ee4b0d4a5afcef5c0,Delhi Heights,22,8.1,8
Brooklyn,City Line,0,0,0,0,0
Brooklyn,Prospect Park South,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,8,8
Brooklyn,Prospect Park South,4db0f4371e729fcc56497f20,Mashallah,19,7.5,7
Brooklyn,Prospect Park South,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,15,7,12
Brooklyn,North Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill,92,8.7,24
Brooklyn,South Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill,92,8.7,24
Brooklyn,Fort Hamilton,545835a1498e820edc6f636f,Bombay Grill,14,7.5,3
Manhattan,Washington Heights,4ae7876ef964a5201eac21e3,Kismat Indian Restaurant,43,7.8,22
